gid,gnd_n,gnd_c,prov_c,dis_c,dsd_c,ghs_count,ghs_sum,ghs_mean
"1046",Nawa Elpitiya South,"2139555","2","21","2139",99,699,7.06060606060606
"12541",Aluthgama Bogamuwa South,"1224100","1","12","1224",641,13141,20.5007800312012
"903",Pallekanda,"2118095","2","21","2118",2188,2188,1
"29",Thelambugahawatta,"2109160","2","21","2109",333,3733,11.2102102102102
"904",Pallewela,"2118070","2","21","2118",912,1012,1.10964912280702
"374",Karattamada,"2127335","2","21","2127",316,1416,4.48101265822785
"905",Pamunethenna,"2118285","2","21","2118",2358,2358,1
"1047",Nawa Peradeniya,"2139415","2","21","2139",309,5109,16.5339805825243
"906",Pitawala,"2118250","2","21","2118",2512,2512,1
"907",Pitawala Udagammaedda,"2118185","2","21","2118",1744,1944,1.11467889908257
"908",Pitigoda,"2118305","2","21","2118",12700,13100,1.03149606299213
"909",Poppitiya,"2118115","2","21","2118",2335,2335,1
"912",Rambukwella West,"2118210","2","21","2118",740,740,1
"910",Pusseela,"2118020","2","21","2118",11925,12025,1.0083857442348
"911",Rambukwella East,"2118205","2","21","2118",679,679,1
"922",Angammana East,"2151105","2","21","2151",635,1835,2.88976377952756
"913",Thalagune,"2118125","2","21","2118",3074,3074,1
"934",Gampola West,"2151090","2","21","2151",295,20795,70.4915254237288
"30",Udaweliketiya,"2109105","2","21","2109",236,9036,38.2881355932203
"914",Udadumbara,"2118140","2","21","2118",671,4571,6.81222056631893
"915",Udailuka,"2118045","2","21","2118",1605,1605,1
"31",Uggala,"2109175","2","21","2109",376,476,1.26595744680851
"2262",Akkaraipattu 10,"5236080","5","52","5236",133,13233,99.4962406015038
"12501",Pepiliyawala,"1230285","1","12","1230",1089,3689,3.38751147842057
"961",Sinhapitiya South,"2151085","2","21","2151",281,4081,14.5231316725979
"916",Udakumbura,"2118055","2","21","2118",2468,2468,1
"917",Udapitawala,"2118175","2","21","2118",2705,2705,1
"918",Udawela,"2118075","2","21","2118",1031,1031,1
"919",Wadawalakanda,"2118085","2","21","2118",954,954,1
