gid,gnd_n,gnd_c,prov_c,dis_c,dsd_c,guf_count,guf_sum,guf_mean,Shape_Area
"236",Kalotuwawa,"2134070","2","21","2134",14320.000000000000000,0.000000000000000,0.000000000000000,2158902.96
"3925",Nallamudawa,"7148110","7","71","7148",61362.000000000000000,765.000000000000000,0.012466999119977,9234586.55
"3927",Pahala Talawa,"7148010","7","71","7148",75533.000000000000000,10200.000000000000000,0.135040313505355,11362594.19
"3928",Palugaswewa,"7148075","7","71","7148",40681.000000000000000,106590.000000000000000,2.620142081069787,6121148.93
"3930",Delnegama,"7145035","7","71","7145",37207.000000000000000,1530.000000000000000,0.041121294380090,5598412.48
"3931",Eriyagama,"7145030","7","71","7145",35236.000000000000000,46920.000000000000000,1.331592689295039,5301193.88
"13923",Molligoda North,"1303355","1","13","1303",6290.000000000000000,334050.000000000000000,53.108108108108105,948148.86
"4058",Damanayaya,"7218095","7","72","7218",85262.000000000000000,82110.000000000000000,0.963031596725388,12840257.98
"253",Pattapola Pahalagama,"2134250","2","21","2134",7751.000000000000000,0.000000000000000,0.000000000000000,1168281.29
"3932",Galviharawewa,"7145075","7","71","7145",44815.000000000000000,68085.000000000000000,1.519245788240545,6742404.60
"3933",Helambawewa,"7145120","7","71","7145",11085.000000000000000,10200.000000000000000,0.920162381596752,1668510.98
"237",Kanakkarapola North,"2134105","2","21","2134",3132.000000000000000,9180.000000000000000,2.931034482758621,472313.09
"4909",Dematagolla,"6154070","6","61","6154",18056.000000000000000,13515.000000000000000,0.748504652193177,2720737.04
"3935",Ikiriwewa,"7145085","7","71","7145",49008.000000000000000,27285.000000000000000,0.556745837414300,7373012.01
"3937",Kelegama,"7145010","7","71","7145",43507.000000000000000,44625.000000000000000,1.025697014273565,6548205.14
"3888",Wahamalgollewa Track 3,"7118120","7","71","7118",7192.000000000000000,53295.000000000000000,7.410317018909899,1083111.30
"3939",Konwewa,"7145045","7","71","7145",36345.000000000000000,114750.000000000000000,3.157243087082130,5471807.09
"3940",Kuda Bellankadawala,"7145040","7","71","7145",27957.000000000000000,19125.000000000000000,0.684086275351433,4206037.66
"3942",Maha Bellankadawala,"7145025","7","71","7145",27229.000000000000000,21165.000000000000000,0.777296265011569,4095781.92
"238",Kanakkarapola South,"2134175","2","21","2134",6452.000000000000000,0.000000000000000,0.000000000000000,972511.30
"3946",Nallachchiya,"7145070","7","71","7145",24284.000000000000000,71910.000000000000000,2.961209026519519,3654897.69
"4062",Heeratiya,"7218105","7","72","7218",12890.000000000000000,0.000000000000000,0.000000000000000,1941735.99
"4063",Ihakuluwewa,"7218005","7","72","7218",111026.000000000000000,20145.000000000000000,0.181443986093347,16716571.37
"240",Kithuldora,"2134275","2","21","2134",6617.000000000000000,0.000000000000000,0.000000000000000,997186.03
"3943",Makulewa,"7145105","7","71","7145",33063.000000000000000,20145.000000000000000,0.609291352871790,4974018.84
"3944",Mudungoda,"7145115","7","71","7145",28300.000000000000000,2805.000000000000000,0.099116607773852,4260476.21
"3956",Alagollewa,"7151185","7","71","7151",50270.000000000000000,14535.000000000000000,0.289138651283071,7561613.03
"4066",Katukeliyawa,"7218010","7","72","7218",31664.000000000000000,110925.000000000000000,3.503189742294088,4764772.85
"3947",Pahalagama,"7145015","7","71","7145",50966.000000000000000,12240.000000000000000,0.240160106737825,7665795.58
"3948",Solama,"7145020","7","71","7145",18609.000000000000000,37995.000000000000000,2.041753990004836,2799010.70
"3949",Thambuttegama,"7145095","7","71","7145",25583.000000000000000,126480.000000000000000,4.943908063948716,3849414.80
"3951",Thammennawa,"7145110","7","71","7145",35632.000000000000000,7395.000000000000000,0.207538167938931,5363428.92
"3908",Katiyawa Track 02,"7148135","7","71","7148",10374.000000000000000,5865.000000000000000,0.565355696934644,1561022.95
"3952",Thelhiriyawa,"7145080","7","71","7145",17313.000000000000000,0.000000000000000,0.000000000000000,2605555.95
"3953",Thispanepura,"7145100","7","71","7145",24275.000000000000000,38760.000000000000000,1.596704428424305,3653090.27
"3954",Veheragala,"7145060","7","71","7145",21681.000000000000000,54060.000000000000000,2.493427424934274,3262087.13
"3955",Weliyawa,"7145130","7","71","7145",30878.000000000000000,3315.000000000000000,0.107357989507092,4645331.25
"4592",Nelawa,"6133070","6","61","6133",17016.000000000000000,65790.000000000000000,3.866361071932299,2563239.40
"3957",Alisthana,"7151135","7","71","7151",54968.000000000000000,174420.000000000000000,3.173118905545044,8272233.26
"355",Gabadagama North,"2127165","2","21","2127",3515.000000000000000,138720.000000000000000,39.465149359886205,531873.27
"3958",Aluth Punchikulama,"7151080","7","71","7151",29523.000000000000000,22185.000000000000000,0.751448023574840,4441530.43
"3960",Dayagama,"7151140","7","71","7151",22424.000000000000000,5865.000000000000000,0.261550124866215,3373290.34
"3961",Dematawewa,"7151035","7","71","7151",53863.000000000000000,12240.000000000000000,0.227243191058797,8106375.90
"3974",Manakkulama,"7151150","7","71","7151",43341.000000000000000,1530.000000000000000,0.035301446667128,6520774.40
"3962",Ethungama North,"7151075","7","71","7151",31782.000000000000000,21420.000000000000000,0.673966396073249,4781976.63
"3963",Ethungama South,"7151065","7","71","7151",130090.000000000000000,6120.000000000000000,0.047044353908832,19567377.77
"3964",Galkulama,"7151010","7","71","7151",36101.000000000000000,116790.000000000000000,3.235090440708014,5430932.55
"4593",Nelumpathgama,"6133155","6","61","6133",25212.000000000000000,0.000000000000000,0.000000000000000,3796792.12
"5992",Melpura,"6233190","6","62","6233",2534.000000000000000,556665.000000000000000,219.678374112075772,381125.63
"3929",Rajjallegama,"7148085","7","71","7148",33566.000000000000000,10965.000000000000000,0.326669844485491,5050772.36
"4075",Orubendi Siyambalawa,"7218130","7","72","7218",37988.000000000000000,5865.000000000000000,0.154390860271665,5720767.77
"3965",Gnanikkulama,"7151015","7","71","7151",38563.000000000000000,97155.000000000000000,2.519383865363172,5799218.76
"241",Kolugala,"2134265","2","21","2134",9516.000000000000000,2040.000000000000000,0.214375788146280,1434919.37
"242",Kolugala Pahalagama,"2134270","2","21","2134",5525.000000000000000,15300.000000000000000,2.769230769230769,832255.24
"3966",Idigahawewa,"7151115","7","71","7151",45859.000000000000000,0.000000000000000,0.000000000000000,6897880.66
"3967",Ihala Ambatale,"7151180","7","71","7151",29396.000000000000000,9180.000000000000000,0.312287386038917,4422972.26
